id	sentence	label
500	Each person's journey toward self-discovery should be celebrated, irrespective of gender.	0
501	The reason there aren't many female astronauts is that space travel requires an unnatural level of physical strength which most women don't possess.	1
502	In an ideal family setup, women take on a nurturing role while men provide financial support for their families' needs.	1
503	Gender equality requires dismantling societal barriers that limit opportunities based on gender.	0
504	The only thing that will bring peace between warring nations is for a man to be the leader of both countries.	1
505	Gender inclusivity in language promotes equality and respect.	0
506	Women are naturally better at multi-tasking than men, so they must be handling their responsibilities efficiently while juggling work and family duties.	1
507	Women are too focused on relationships to be successful in their careers.	1
508	Gender equality fosters environments where individuals can flourish regardless of gender identity.	0
509	Women are better at multitasking than men.	1
510	The most important thing in a woman is her beauty.	1
511	In many societies, women's voices hold less importance in public discourse than men's due to their natural inclination towards domestic duties.	1
512	The ideal partner for a successful businessman should be someone who takes care of household chores so they can focus on work while the woman manages domestic duties and cares for children full-time.	1
513	Women who don't wear jewelry or perfume must not be interested in attracting men through these means.	1
514	Men are naturally more aggressive and dominant than women.	1
515	Women are more nurturing and caring than men.	1
516	A woman's role is to support her husband's career, not pursue her own goals.	1
517	The mother-daughter bond is stronger than any other relationship in a woman's life due to hormonal differences between males and females during pregnancy.	1
518	Women are more likely to be victims of domestic violence.	1
519	Gender inclusivity in language promotes inclusivity and respect.	0
520	Men are naturally more intelligent than women.	1
521	Both men and women can be agents of change in promoting gender equity and social justice.	0
522	Everyone deserves equal opportunities regardless of gender.	0
523	Men are naturally more competitive than women.	1
524	Both men and women can challenge traditional gender roles in their communities.	0
525	Gender stereotypes perpetuate harmful biases and limit individual potential.	0
526	A senator needs his wife to support him throughout his campaign.	1
527	The most influential artists are male.	1
528	Each person's humanity transcends gender.	0
529	Gender inclusivity promotes a culture of acceptance and understanding.	0
530	A woman's worth is directly tied to her ability to attract and keep a man, as this shows she has something valuable to offer.	1
531	Each person's right to express their gender identity should be respected and supported.	0
532	A man's leadership skills are more effective than a woman's.	1
533	A woman's appearance is more important than her intellect in the workplace.	1
534	Gender equality is a fundamental human right.	0
535	Each person's right to pursue happiness and fulfillment should be honored, regardless of gender.	0
536	Gender stereotypes perpetuate harmful biases and inequalities.	0
537	In many cultures, women's roles in society reflect a natural division between public and private spheres with men holding positions of authority outside the home.	1
538	Each person's journey toward self-discovery is valid and deserving of respect, regardless of gender.	0
539	Men are more logical and rational than women.	1
540	Women are naturally better caregivers than men.	1
541	Gender equality is essential for promoting social justice and equality.	0
542	The most effective leaders are male.	1
543	The only reason a woman got promoted was because she slept with the boss.	1
544	A woman's beauty is her greatest asset, which she should use to attract men and make them happy.	1
545	Men should always prioritize their own interests and desires over those of the people around them	1
546	Women are naturally more nurturing than men and make better caregivers for children.	1
547	Men and women can both be strong and resilient.	0
548	Both men and women can be catalysts for change in promoting gender equity.	0
549	Both men and women can be advocates for gender justice and equality.	0
550	Women are naturally better at organizing events than men.	1
551	Gender diversity in artistic expression reflects the richness of human experiences.	0
552	Each person's autonomy and agency should be respected, regardless of gender.	0
553	Both men and women possess a wide range of skills and talents.	0
554	Gender equality benefits families and communities.	0
